"Идентификатор","Комнатность","Новостройка","Метро.Район","Время.до.метро","Улица","Дом","Этаж","Этажность","Площадь.общая","Площадь.жилая","Площадь.кухни","Ценавруб.","Ценавдолл.","Ценавевро","Источник.получения","Дата.объявления","Контакты","На.сайте","Описание"
24016418,1,"Нет","Киевская",15,"Сколковское ш.","36","4",9,21,16,4,3500000,99488,73466,"Дом Сервис+","23.01.2014 5:20:30","Тел.: 89150801223, http://www.7829980.ru, mailto:7829980@mail.ru","","Квартира 1-комн., общ.пл.-21, жил.пл.-16, кухня-4, метро или район:Киевская, 15 мин. т, адрес:Москва, Сколковское ш., 36, этаж/этажность -4/9, санузел-совм., Лот: А26685 : 1 квартира, Москва, м. Киевская, Сколковское шоссе, д. 36 Продаётся 1-комнатная квартира-студия. До метро Киевская 15 минут транспортом. До метро Славянский бульвар 10 минут транспортом. ОТЛИЧНЫЙ ВАРИАНТ ДЛЯ ПРОЖИВАНИЯ И ОТДЫХА!!! Динамично-развивающийся, известный, престижный район Сколково! Этаж 4/9 этажного панельного д ..."
23454997,1,"Нет","Киевская",10,"Матвеевская","26","5",5,31,18,6,4700000,133598,98654,"Азбука Жилья","19.10.2013 5:05:10","Тел.: +7 (495) 795-0569, http://http://www.azbuka-vtorich.ru/69542, mailto:vtorich@azbuka.ru","","Квартира 1-комн., общ.пл.-31, жил.пл.-18, кухня-6, метро или район:Киевская, 10 мин. т, адрес:Москва, Матвеевская, 26, этаж/этажность -5/5, балкон:Б, санузел-разд., ""Азбука Жилья"", Алексей, уютная теплая квартира, в зеленом районе г.Москвы с развитой инфраструктурой, транспортная доступность до м. Киевская, Кунцевская, Славянский Бульвар, Юго-Западная. Косметический ремонт, два собственника, свободная продажа, рядом Поклонная Гора. Менеджер по продажам: 8-916-231-45-17, Цена:4.7 млн. руб."
23697825,1,"Нет","Марксистская",10,"Бронницкая","4","5",5,32,18,7,5e+06,145942,107770,"ИНКОМ-Недвижимость","13.11.2013 12:20:37","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248083&ir=bazaincom","Квартира 1-комн., общ.пл.-32.00, жил.пл.-18.00, кухня-7.00, метро или район:Марксистская, 10 мин. т, адрес:Москва, Бронницкая, 4, этаж/этажность -5/5, санузел-разд., Лот: вт-0248083, Продается квартира в сталинском доме, чистая, уютная, в собственности более 3-х лет, 1 собственник. Потолки - 3.20. Сделан отличный капитальный ремонт 0,5 года назад. Окна выходят во двор, подъезд отремонтирован. В шаговой доступности: ТЦ ""Город"", магазины ""Ашан"", ""Леруа Мерлен"" и др. Торг уместен. Содействие в  ..."
23712199,1,"Нет","Марксистская",5,"Нижегородская","53","1",9,36,14.4,8,5350000,156158,115314,"ИНКОМ-Недвижимость","16.11.2013 12:20:46","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248276&ir=bazaincom","Квартира 1-комн., общ.пл.-36.00, жил.пл.-14.40, кухня-8.00, метро или район:Марксистская, 5 мин. т, адрес:Москва, Нижегородская, 53, этаж/этажность -1/9, балкон:Л, санузел-совм., Лот: вт-0248276, СВОБОДНАЯ!!! Приватизация 1992г., 1 взрослый собственник, огромная лоджия, требует ремонта. Содействие в получении специальных условий и преференций по ипотеке., Цена:5.35 млн. руб.|156.158 тыс.$|115.314 тыс. евро"
23701679,2,"Нет","Таганская",10,"Карачаровская 1-я","17","5",5,41,25,6,5350000,156158,115314,"ИНКОМ-Недвижимость","14.11.2013 12:20:55","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0248168&ir=bazaincom","Квартира 2-комн., общ.пл.-41.00, жил.пл.-25.00, кухня-6.00, метро или район:Таганская, 10 мин. т, адрес:Москва, Карачаровская 1-я, 17, этаж/этажность -5/5, балкон:Б, санузел-совм., Лот: вт-0248168, Хорошее состояние, изолир. комнаты (16+9), более 3-х лет, 1 взр. собственник, хорошая транспортная доступность, 10 мин. транспортом до м. Авиамоторная, Рязанский проспект. В пешей доступности ж/д станция (10 мин. до м. Курская, Комсомольская) Содействие в получении специальных условий и преференци ..."
23970021,3,"Нет","Киевская",NA,"дзержинского","1","4",9,53,34.2,6.2,5400000,157618,116392,"ИНКОМ-Недвижимость","16.01.2014 12:20:57","Тел.: +7(495)363-99-30, mailto:mk_war@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251883&ir=bazaincom","Квартира 3-комн., общ.пл.-53.00, жил.пл.-34.20, кухня-6.20, метро или район:Киевская, адрес:Москва, дзержинского, 1, этаж/этажность -4/9, Лот: вт-0251883, состояние жилое, московская прописка, 10 мин. пеш. от ж/д станции, 40 мин. на электричке до м. Киевская, вся инфра-ра в шаг. доступности, общ. тр. доступ. до м. Юго-Западная, документы готовы к сделке, Цена:5.4 млн. руб.|157.618 тыс.$|116.392 тыс. евро"
23720877,1,"Нет","Таганская",15,"Бронницкая","2/6","4",5,32,18,8,5800000,169293,125013,"ИНКОМ-Недвижимость","20.11.2013 12:20:46","Тел.: +7(495)363-01-60, mailto:mk_tg@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0247429&ir=bazaincom","Квартира 1-комн., общ.пл.-32.00, жил.пл.-18.00, кухня-8.00, метро или район:Таганская, 15 мин. т, адрес:Москва, Бронницкая, 2/6, этаж/этажность -4/5, балкон:Б, санузел-разд., Лот: вт-0247429, Чистая продажа! Свежий дизайн, ремонт, встроенная мебель, потолки 3м, хороший кирпичный дом, в подъезде свежий ремонт, рядом строится метро ул. Нижегородская. Отличный вариант для покупки! Содействие в получении специальных условий и преференций по ипотеке., Цена:5.8 млн. руб.|169.293 тыс.$|125.013 тыс. ..."
24042343,1,"Нет","Павелецкая",10,"Павелецкий 2-й проезд","8","8",9,32,21.5,5.2,5800000,169293,125013,"ИНКОМ-Недвижимость","30.01.2014 12:20:44","Тел.: +7(495)363-04-73, mailto:mk_rv@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0234162&ir=bazaincom","Квартира 1-комн., общ.пл.-32.80, жил.пл.-21.50, кухня-5.20, метро или район:Павелецкая, 10 мин. т, адрес:Москва, Павелецкий 2-й проезд, 8, этаж/этажность -8/9, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0234162, Уютная квартира в хорошем состоянии, стеклопакеты в квартире и на балконе, кондиционер, окна во двор, рядом автобусная остановка, рядом Павелецкая набережная, полная стоимость в ДКП. Содействие в получении специальных условий и преференций по ипотеке., Цена:5.8 млн. руб.|169.293  ..."
21047013,1,"Нет","Таганская",10,"Смирновская","8","3",5,36,20,6,5800000,169293,125013,"ИНКОМ-Недвижимость","19.02.2013 12:21:01","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0227308&ir=bazaincom","Квартира 1-комн., общ.пл.-36.00, жил.пл.-20.00, кухня-6.00, метро или район:Таганская, 10 мин. т, адрес:Москва, Смирновская, 8/А, этаж/этажность -3/5, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0227308, состояние полностью жилое, дом после кап. ремонта, ДКП более 3-х лет, свободная продажа, Цена:5.8 млн. руб.|169.293 тыс.$|125.013 тыс. евро"
23923218,1,"Нет","Киевская",26,"Марии Поливановой","6","2",9,33,18,6.5,5800000,169293,125013,"ИНКОМ-Недвижимость","28.12.2013 12:20:44","Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0243970&ir=bazaincom","Квартира 1-комн., общ.пл.-33.00, жил.пл.-18.00, кухня-6.50, метро или район:Киевская, 26 мин. т, адрес:Москва, Марии Поливановой, 6, этаж/этажность -2/9, телефон-ЕСТЬ, санузел-совм., Лот: вт-0243970, отличное состояние кв-ры, окна на улицу, быстрый выход на сделку, торг. Содействие в получении специальных условий и преференций по ипотеке., Цена:5.8 млн. руб.|169.293 тыс.$|125.013 тыс. евро"
